primaryId	primaryNetwork	name	symbol	algorand	arbitrum	aurora	avalanchec	binance	bitcoin	celo	classic	ethereum	fantom	gochain	heco	kcc	meter	near	oasis	okc	optimism	polygon	ronin	smartchain	solana	tezos	thundertoken	tomochain	wanchain	xdai
9c5cf3fd-3dca-4051-9bcc-9fd48414382b	algorand	Algorand	ALGO	9c5cf3fd-3dca-4051-9bcc-9fd48414382b																										
b96abbae-90e3-4688-85c4-2013733f712e	arbitrum	Arbitrum	ARETH		b96abbae-90e3-4688-85c4-2013733f712e																									
fa1406bf-f67d-481c-bdca-19b641ba8c58	aurora	Aurora	ETH			fa1406bf-f67d-481c-bdca-19b641ba8c58																								
44991bb4-a407-4a87-8a72-05d56079fb0f	avalanchec	Avalanche C-Chain	AVAX				44991bb4-a407-4a87-8a72-05d56079fb0f																							
2b3af3c6-65e9-47dd-9869-74c302c1bbdf	binance	BNB Chain	BNB					2b3af3c6-65e9-47dd-9869-74c302c1bbdf																						
531924d7-9cd2-4c2b-a56f-6d2bf1c05566	bitcoin	Bitcoin	BTC						531924d7-9cd2-4c2b-a56f-6d2bf1c05566																					
8b108f32-5617-4bd8-a530-3e56694bfb10	celo	Celo	CELO							8b108f32-5617-4bd8-a530-3e56694bfb10																				
ed6473cd-a421-42a3-a94f-6de08ae977fc	classic	Ethereum Classic	ETC								ed6473cd-a421-42a3-a94f-6de08ae977fc																			
41178fe4-51ba-457f-a18c-7f763fad96fa	ethereum	TrueUSD	TUSD									41178fe4-51ba-457f-a18c-7f763fad96fa																		
506e7286-6c41-4d29-a4a7-2663e88bba0c	ethereum	Tokenlon	LON									506e7286-6c41-4d29-a4a7-2663e88bba0c																		
977a1bc2-f2dc-4c2b-b722-236b5b55bd13	ethereum	Dharma Dai	DDAI									977a1bc2-f2dc-4c2b-b722-236b5b55bd13																		
0b07cc34-b4d6-439c-a2be-578de1908e4c	ethereum	Dharma USD Coin	DUSDC									0b07cc34-b4d6-439c-a2be-578de1908e4c																		
16c7089e-7de1-4abf-bda0-e3582f753e92	ethereum	Gastoken	GST2									16c7089e-7de1-4abf-bda0-e3582f753e92																		
d640aef4-2a02-46b1-ab49-857811b3dd3a	ethereum	TrueGBP	TGBP									d640aef4-2a02-46b1-ab49-857811b3dd3a																		
2af3e106-9371-4460-9e23-386711ba4879	ethereum	TrueCAD	TCAD									2af3e106-9371-4460-9e23-386711ba4879																		
280d1a62-0e1a-43bc-bedd-ae2d551f2de6	ethereum	TrueAUD	TAUD									280d1a62-0e1a-43bc-bedd-ae2d551f2de6																		
749605b2-c7db-4071-b20b-19afac2c3e43	ethereum	TrueHKD	THKD									749605b2-c7db-4071-b20b-19afac2c3e43																		
d760cde6-3ffe-40b9-bdc0-ce776274f109	ethereum	Alchemy	ALCH									d760cde6-3ffe-40b9-bdc0-ce776274f109																		
47489a2b-7336-4aac-b55d-b56d57a0a919	ethereum	Scalareum	SCLR									47489a2b-7336-4aac-b55d-b56d57a0a919																		
aea8f41b-d9a2-434a-9ae2-6ee66293a7f3	ethereum	AmonD	AMON									aea8f41b-d9a2-434a-9ae2-6ee66293a7f3																		
